Country ,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018
Singapore,SGP,71565.99973,76034.33406,78978.82285,82881.407,86611.51359,89007.4608,91452.04273,96552.60261,101531.6302
Solomon Islands,SLB,1832.831573,2064.595803,2142.507048,2185.868783,2216.265053,2235.826964,2271.613915,2337.642672,2422.819533
Sierra Leone,SLE,1183.330094,1255.453038,1440.997449,1730.996317,1803.863023,1416.366137,1486.044851,1544.42929,1601.974029
El Salvador,SLV,6152.394745,6492.63255,6773.622435,7014.692142,7236.117362,7453.429732,7686.143937,7972.782895,8331.804142
Serbia,SRB,12797.32427,13746.92668,13933.83821,14629.07053,14659.54058,14922.13735,15615.23211,16433.44975,17434.91613
Sub-Saharan Africa (excluding high income),SSA,3223.595898,3350.823168,3461.734652,3609.03118,3755.603884,3811.929676,3810.984025,3889.143024,3985.118728
Sub-Saharan Africa,SSF,3225.323047,3352.703186,3463.618896,3611.014815,3757.662207,3814.062822,3813.193649,3891.441058,3987.503987
Small states,SST,18900.65675,20249.80368,20941.97539,21550.10434,22100.14036,22510.68134,22770.47268,23258.75826,23836.72369
Sao Tome and Principe,STP,2507.202712,2612.010147,2689.201204,2813.153487,2997.322455,3086.025098,3189.251813,3312.727969,3418.58693
Suriname,SUR,13841.41492,14788.068,15303.70159,15851.99662,16018.08688,15472.9779,14622.05054,15002.41986,15510.46464
Slovak Republic,SVK,25152.7642,26049.79238,26933.42222,27967.1723,28991.56583,29924.12155,30824.59619,32243.84951,33736.40094
Slovenia,SVN,27824.64807,28931.38371,29042.82027,29973.69911,30870.02367,31636.75003,33191.67387,36142.79094,38048.78466
Sweden,SWE,42179.33712,44503.67324,45304.41571,46138.45457,47045.64635,48975.00451,49423.21647,51878.6944,53208.88436
Eswatini,SWZ,8073.511731,8370.819097,8930.862562,9373.003028,9565.531582,9810.545675,9953.995477,10249.51169,10637.84173
Seychelles,SYC,19948.41572,22556.58257,23051.79171,24412.8862,25594.10396,26546.40585,27672.51882,29062.26285,30557.07572
Chad,TCD,1875.557261,1852.938156,1988.064823,2067.796467,2179.247741,2191.741795,2012.817316,1929.472752,1968.258262
East Asia & Pacific (IDA & IBRD countries),TEA,8818.901912,9676.71589,10519.51389,11380.56528,12276.7457,13111.33015,13987.95821,15058.09493,16282.93743
Europe & Central Asia (IDA & IBRD countries),TEC,15836.4234,17875.27319,18796.4525,19527.28345,20023.7849,19924.45735,20316.68722,21703.27469,22758.66419
Togo,TGO,1216.508967,1286.470497,1360.257545,1430.525333,1504.32208,1566.994218,1630.600506,1691.534408,1773.896632
Thailand,THA,13213.31474,13537.48834,14727.14305,15318.63674,15694.33668,16293.6098,16961.26557,17917.20689,19051.33338
Tajikistan,TJK,2094.538959,2245.785335,2404.805181,2567.785701,2726.507194,2851.709486,3006.511141,3216.580702,3449.779316
Turkmenistan,TKM,9738.983107,11212.4865,12469.88011,13726.37238,15144.54545,16011.55121,16895.47613,18032.22196,19304.10131
Latin America & the Caribbean (IDA & IBRD countries),TLA,13352.70893,14240.95759,14750.83321,15249.57546,15573.69078,15577.57319,15587.6428,16072.41806,16510.95875
Timor-Leste,TLS,8821.211793,9860.331546,10369.38916,9216.474857,6833.300502,8177.850186,8168.746991,7416.223344,7658.434996
Tonga,TON,4889.298528,5151.454825,5339.532136,5313.805671,5567.035411,5849.717335,6092.258366,6321.606933,6419.561778
South Asia (IDA & IBRD),TSA,4112.321118,4351.006502,4614.423625,4915.528422,5288.857306,5671.434013,6097.572772,6562.46707,7084.490975
Sub-Saharan Africa (IDA & IBRD countries),TSS,3225.323047,3352.703186,3463.618896,3611.014815,3757.662207,3814.062822,3813.193649,3891.441058,3987.503987
Trinidad and Tobago,TTO,30620.1748,30980.45449,31770.1904,32831.47606,32937.07201,33698.66655,31754.46967,31461.26406,32014.78313
Tunisia,TUN,10227.32596,10139.13146,10642.5379,11032.93957,11460.34826,11598.86038,11743.4899,12047.05114,12502.82019
Turkey,TUR,17425.86136,19651.67848,20616.86987,22269.03766,23967.11803,25625.57463,26150.3998,27915.52365,28068.85941
Tuvalu,TUV,2925.616097,3180.104184,3086.009247,3248.194851,3319.10486,3619.410338,3727.711339,3903.655005,4049.56438
